processes, threads, time
2, 2, 310.174413
2, 3, 319.614075
2, 4, 332.626062
2, 5, 360.829450
2, 6, 385.722875
2, 7, 419.144250
2, 8, 467.804237
2, 9, 519.122938
2, 10, 583.245162
2, 11, 644.506575
2, 12, 741.109262
4, 2, 620.007500
4, 3, 622.809369
4, 4, 630.709812
4, 5, 652.909825
4, 6, 671.800769
4, 7, 705.509125
4, 8, 743.986131
4, 9, 792.328100
4, 10, 845.407563
4, 11, 912.002294
4, 12, 964.739181
8, 2, 934.204116
8, 3, 942.793312
8, 4, 946.847941
8, 5, 960.753816
8, 6, 982.168212
8, 7, 1009.232859
8, 8, 1043.839653
8, 9, 1088.574600
8, 10, 1137.550094
8, 11, 1198.411087
8, 12, 1257.662634
