processes, threads, time
2, 2, 176.930737
2, 3, 180.245975
2, 4, 182.490875
2, 5, 183.099288
2, 6, 187.008400
2, 7, 224.897288
2, 8, 277.777337
2, 9, 338.424125
2, 10, 394.712612
2, 11, 455.176537
2, 12, 512.259188
3, 2, 330.850458
3, 3, 324.849533
3, 4, 329.203608
3, 5, 331.272400
3, 6, 331.917800
3, 7, 329.732583
3, 8, 333.646225
3, 9, 340.391608
3, 10, 384.458158
3, 11, 435.319142
3, 12, 492.102983
4, 2, 317.573219
4, 3, 318.443987
4, 4, 319.740637
4, 5, 321.112681
4, 6, 318.929850
4, 7, 319.978806
4, 8, 324.437969
4, 9, 335.512769
4, 10, 375.043513
4, 11, 430.994675
4, 12, 487.759056
5, 2, 443.042715
5, 3, 444.945140
5, 4, 447.523490
5, 5, 444.285170
5, 6, 447.689345
5, 7, 451.079755
5, 8, 447.485070
5, 9, 452.921285
5, 10, 458.108115
5, 11, 458.207865
5, 12, 488.947890
6, 2, 472.823450
6, 3, 467.806667
6, 4, 468.872033
6, 5, 467.958004
6, 6, 467.819237
6, 7, 468.811100
6, 8, 472.649471
6, 9, 477.298404
6, 10, 484.493688
6, 11, 482.924308
6, 12, 504.506208
7, 2, 584.337925
7, 3, 584.053979
7, 4, 586.782861
7, 5, 586.489311
7, 6, 588.836418
7, 7, 590.299504
7, 8, 592.819632
7, 9, 596.138204
7, 10, 598.611750
7, 11, 602.945764
7, 12, 655.581182
8, 2, 457.485084
8, 3, 457.718925
8, 4, 459.326650
8, 5, 460.954522
8, 6, 461.053503
8, 7, 460.803359
8, 8, 465.050016
8, 9, 470.028584
8, 10, 476.055256
8, 11, 486.845781
8, 12, 529.748209

