processes, threads, time
2, 2, 325.441213
2, 3, 326.808112
2, 4, 323.296525
2, 5, 329.268712
2, 6, 331.045737
2, 7, 342.713450
2, 8, 403.778950
2, 9, 485.294388
2, 10, 567.311550
2, 11, 664.209875
2, 12, 749.611000
3, 2, 374.075883
3, 3, 376.487167
3, 4, 372.832192
3, 5, 375.885775
3, 6, 380.976858
3, 7, 389.378567
3, 8, 421.645808
3, 9, 489.290100
3, 10, 577.277067
3, 11, 667.133375
3, 12, 748.280775
4, 2, 631.647875
4, 3, 633.813725
4, 4, 639.148725
4, 5, 636.240844
4, 6, 640.250712
4, 7, 647.089213
4, 8, 648.424244
4, 9, 647.812000
4, 10, 659.365269
4, 11, 689.773625
4, 12, 764.368594
5, 2, 676.811705
5, 3, 676.115115
5, 4, 678.286745
5, 5, 681.311825
5, 6, 682.180865
5, 7, 690.060765
5, 8, 692.712345
5, 9, 697.986700
5, 10, 702.839360
5, 11, 719.282850
5, 12, 774.605950
6, 2, 689.563621
6, 3, 690.013650
6, 4, 690.676100
6, 5, 693.099067
6, 6, 693.390225
6, 7, 701.523750
6, 8, 704.979171
6, 9, 710.013671
6, 10, 716.027404
6, 11, 733.484633
6, 12, 786.547754
7, 2, 711.224968
7, 3, 713.435346
7, 4, 714.051082
7, 5, 718.839579
7, 6, 719.481929
7, 7, 727.315511
7, 8, 727.671079
7, 9, 731.669721
7, 10, 735.863629
7, 11, 756.085407
7, 12, 799.047107
8, 2, 951.236787
8, 3, 946.152844
8, 4, 949.506250
8, 5, 955.406794
8, 6, 956.597050
8, 7, 963.261331
8, 8, 966.050753
8, 9, 964.151100
8, 10, 968.082188
8, 11, 979.138584
8, 12, 983.891356

