processes, threads, time
2, 2, 288.675600
2, 3, 292.219038
2, 4, 292.525275
2, 5, 295.358200
2, 6, 299.984075
2, 7, 336.441350
2, 8, 406.876850
2, 9, 484.224663
2, 10, 574.559962
2, 11, 658.837600
2, 12, 765.584263
4, 2, 560.184919
4, 3, 564.133544
4, 4, 562.501044
4, 5, 566.482344
4, 6, 570.118419
4, 7, 577.199075
4, 8, 574.180500
4, 9, 580.129775
4, 10, 607.868394
4, 11, 679.424169
4, 12, 775.226081
8, 2, 843.657428
8, 3, 838.100316
8, 4, 845.868275
8, 5, 849.060666
8, 6, 852.359147
8, 7, 860.090759
8, 8, 862.572837
8, 9, 867.225791
8, 10, 873.960691
8, 11, 881.572750
8, 12, 894.824756
